gfem_front_base_x,gfem_front_base_y,gfem_front_base_z,gfem_rear_base_x,gfem_rear_base_y,gfem_rear_base_z,gfem_front_deform_x,gfem_front_deform_y,gfem_front_deform_z,gfem_rear_deform_x,gfem_rear_deform_y,gfem_rear_deform_z,dfem_front_base_x,dfem_front_base_y,dfem_front_base_z,dfem_rear_base_x,dfem_rear_base_y,dfem_rear_base_z,dfem_front_deform_x,dfem_front_deform_y,dfem_front_deform_z,dfem_rear_deform_x,dfem_rear_deform_y,dfem_rear_deform_z
41628.19806,-21008.83595,865.0340063,42676.09774,-20392.79116,836.9931776,41623.38448,-21008.54415,857.9935933,42680.07456,-20387.81792,826.5149076,43083.74795,-23407.94909,1025.885163,43953.32496,-22895.77755,1016.63778,43083.27324,-23406.39679,1041.4717,43952.67505,-22893.66502,1038.1031
41611.96622,-20981.30932,863.4552879,42661.25023,-20364.43771,835.4326516,41607.16285,-20981.04975,855.8638258,42665.30281,-20359.461,824.4668668,43093.85709,-23425.14571,1027.258929,43962.57445,-22913.47912,1018.07054,43093.47242,-23423.5844,1043.0051,43961.97447,-22911.34359,1039.7854
41595.73453,-20953.78294,861.8807457,42646.40178,-20336.08242,833.8763715,41590.94121,-20953.55531,853.7347671,42650.53097,-20331.10391,822.4218527,43088.8025,-23416.54739,1026.572034,43957.94971,-22904.62835,1017.353947,43088.37284,-23414.99059,1042.2334,43957.27473,-22902.45432,1038.9392
41579.5032,-20926.25716,860.3103895,42631.55237,-20307.72525,832.3242906,41574.71953,-20926.06083,851.6064837,42635.75903,-20302.74662,820.3805108,43103.9663,-23442.34233,1028.632781,43971.82397,-22931.18054,1019.504973,43103.57159,-23440.77203,1044.5383,43971.17407,-22929.02213,1041.4686
42349.47771,-22232.01253,939.5737361,43335.7248,-21652.39058,911.3795121,42344.10956,-22230.11761,953.1671593,43336.34384,-21647.63994,918.8536153,43098.91168,-23433.74402,1027.945845,43967.1992,-22922.32985,1018.787551,43098.47201,-23432.17821,1043.7767,43966.57423,-22920.13288,1040.6319
42325.18575,-22190.81719,936.9175697,43313.50735,-21609.96687,908.6930151,42319.83745,-22188.97824,949.93781,43314.2433,-21605.21415,915.6984252,43068.58438,-23382.15419,1023.824702,43939.4506,-22869.22496,1014.491909,43068.17444,-23380.71542,1039.1564,43938.77623,-22867.09709,1035.5759
42300.89349,-22149.62136,934.2719205,43291.29002,-21567.54323,906.0204437,42295.56526,-22147.83876,946.7105041,43292.14264,-21562.78812,912.5473844,43063.52989,-23373.55588,1023.137938,43934.82575,-22860.37405,1013.777517,43063.07482,-23372.12164,1038.3946,43934.1767,-22858.30775,1034.7405
42276.60094,-22108.42502,931.6367504,43269.0728,-21525.11966,903.3616685,42271.29301,-22106.69916,943.485228,43270.04188,-21520.3619,909.3996007,43058.47541,-23364.95756,1022.451203,43930.20086,-22851.52313,1013.063588,43058.0752,-23363.52786,1037.6227,43929.57721,-22849.41843,1033.8953
42252.3081,-22067.22819,929.0120205,43246.85557,-21482.69594,900.7165353,42247.02068,-22065.55944,940.2620178,43247.94104,-21477.93554,906.254155,43078.6934,-23399.35079,1025.198316,43948.70019,-22886.92671,1015.922047,43078.27365,-23397.90299,1040.7,43948.0754,-22884.77572,1037.2571
42228.01497,-22026.03087,926.3976915,43224.63821,-21440.27181,898.0848898,42222.74829,-22024.4196,937.0408955,43225.84017,-21435.5091,903.1099952,43073.63888,-23390.75249,1024.511495,43944.07541,-22878.07584,1015.206754,43073.17404,-23389.3092,1039.9282,43943.4758,-22875.9864,1036.4214
